text;;
@pln_123 @IdrisAShomad Sawangan permai mati lampu dari jam18.00 saya sudah lapor pln no.laporan d0krliq, belum hidup;;
Trims tuk smua yg terlibat dlm giat hari ini, langkah awal tuk setu yg lebih tertata @IdrisAShomad @wijayakhamidpic.twitter.com/talBWx3aE3;;
@SekrtDisdukDpk saya & suami sampai izin dari kantor hampir seminggu hy utk mengurus persyaratan akta yg ribet @IdrisAShomad @pemkotdepok;;
@SekrtDisdukDpk dah tau ini?? http://setkab.go.id/tidak-perlu-surat-rt-rw-kini-mengurus-e-ktp-dan-akta-kelahiran-cukup-fotokopi-kartu-keluarga/ …??  Plis, jgn persulit warga bikin akta kelahiran lg.. @IdrisAShomad @pemkotdepok;;
Grebek Sampah Setu Menuju Depok Zero Waste City http://humas.depok.go.id/grebek-sampah-setu-menuju-depok-zero-waste-city.aspx … @IdrisAShomad @pradi_supriatna;;
http://news.detik.com/berita/3209832/mendagri-mengurus-e-ktp-dan-akta-kelahiran-cukup-fotokopi-kartu-keluarga … apa sudah berlaku di depok pak @IdrisAShomad ? cc: @disdukdepok @pemkotdepok;;
silahkan menemui Bpk Arief Muklis sbg OPR kel. Pancoran Mas utk konfirmasi status KK ny;;
"Pembinaan Dan Penyuluhan
Koperasi Kota Depok.
@IdrisAShomad @kumkmpDepok @humaskukm pic.twitter.com/BgUWYbmg15";;
#Depok @PemkotDepok RT @Dishub_Dpk: Pemeliharaan PJU di Jl. Arief Rahman H @pemkotdepok @IdrisAShomad pic.twitter.com/wwX64EylLf;;
#Depok @PemkotDepok RT @Dishub_Dpk: Pemeliharaan PJU di Jl. Arief Rahman H @pemkotdepok @IdrisAShomad pic.twitter.com/Si3Qy5OAPd;;
#Depok @PemkotDepok RT @Dishub_Dpk: Pemeliharaan PJU di Jl. Arief Rahman H @pemkotdepok @IdrisAShomad pic.twitter.com/1symcVEXir;;
#Depok @PemkotDepok RT @Dishub_Dpk: Pemeliharaan PJU di Jl. Arief Rahman H @pemkotdepok @IdrisAShomad pic.twitter.com/Bb1wv1M9Sr;;
#Depok @PemkotDepok RT @Dishub_Dpk: Pemeliharaan PJU di Jl. Arief Rahman H @pemkotdepok @IdrisAShomad pic.twitter.com/qXiaZjToY6;;
#Depok @PemkotDepok RT @Dishub_Dpk: Pemeliharaan PJU di Jl. Arief Rahman H @pemkotdepok @IdrisAShomad pic.twitter.com/mSuHlnI0yH;;
penutupan acara bimtek perpustakaan 13052016 o/ @sitichaerijah @imeh95 @IdrisAShomad @pemkotdepokpic.twitter.com/f1roabrlk6;;
"bimtek perpustakaan hari ke -3 ""otomasi perpustakaan"" semangat :)) @imeh95 @sitichaerijah @IdrisAShomad @pemkotdepokpic.twitter.com/qHcFVjF44S";;
Bapaa @IdrisAShomad ni apaan dah https://twitter.com/okezonenews/status/730972138635567107 …;;
Aliran Sesat di Depok Miliki Ritual Seks Bebas - #Okezone http://bit.ly/1s49U5U  KH. @IdrisAShomad;;
Pak Walikota @IdrisAShomad foto bersama ibu2 kader PKK &Posyandu Se-Kalibaru pd Grebek Sampah Setu Cilodong,Semangat pic.twitter.com/tvwWXCHOyI;;
Pemasangan Rambu RPPJ di Yonhub Jatijajar @pemkotdepok @IdrisAShomad pic.twitter.com/iZLZn4Z8FC;;
Crew Cilodong dan Bank Sampah Cilodong ikut giat Jumat Bersih (Jum,13/05/16) @ZamrowiHasan @IdrisAShomad pic.twitter.com/ppdG2eNCZz;;
Pemeliharaan PJU di Jl. Arief Rahman H @pemkotdepok @IdrisAShomad pic.twitter.com/erbOiTtLJd;;
Giat Komunitas Ciliwung bersih - bersih (Jum,13/05/16) @ZamrowiHasan @IdrisAShomad pic.twitter.com/arMAkzu4kV;;
SenamPagi bersama PakWali @IdrisAShomad stlh ApelSiaga GrebekSampah SetuCilodong,Kalibaru dg Lurah,Kader,Tokoh,Warga pic.twitter.com/PXihCm1762;;
Pak Walikota @IdrisAShomad berfoto bersama CamatCilodong,LurahKalibaru,DanDim,wargaSetuCilodong pd GrebekSampah Setu pic.twitter.com/8xNgF9FJvq;;
@IdrisAShomad @disdukdepok manfaatnya apa yahhttps://twitter.com/pemkotdepok/status/730913682197258240 …;;
Giat Jumsih Crew Pancoran Mas di Jln. Melati- Merpati Depok Jaya (Jum,13/05/16) @ZamrowiHasan @IdrisAShomad pic.twitter.com/K2Y80So2sX;;
"Bisa tanpa Riba pasti Bisa 

Cc pak walikota Depok @IdrisAShomad https://twitter.com/ridwankamil/status/730903165395066882 …";;
Grebek Sampah Di Setu Cilodong Bersama Walikota Depok http://humas.depok.go.id/grebek-sampah-di-setu-cilodong-bersama-walikota-depok.aspx … @IdrisAShomad @pradi_supriatna;;
RT dir_gunzz: Lubang ditiap sambungan jembatan jl juanda depok.Potensi laka.Mhn diperbaiki.restadepok IdrisAShomad pemkotdepok …;;
Apel Siaga GrebekSampah SetuCilodong dg warga,DivisiInfanteri1Kostrad dg Walikota @IdrisAShomad sbg InspekturUpacara pic.twitter.com/pK41UpgFYs;;
Lubang ditiap sambungan jembatan jl juanda depok.Potensi laka.Mhn diperbaiki.@restadepok @IdrisAShomad @pemkotdepokpic.twitter.com/91IK3aYJDj;;
Lubang ditiap sambungan jembatan jl juanda depok.Potensi laka.Mhn diperbaiki.@IdrisAShomad@pemkotdepok @restadepokpic.twitter.com/ZTMJQVoY96;;
@IdrisAShomad Ket.PKK Kec.Cilodong, Perwosi,LurahKalibaru,Ket.PKK Kel&ibu2Kader& Warga pd Grebek Sampah SetuCilodong pic.twitter.com/OmgWzEntqh;;
Pak Walikota @IdrisAShomad berikan Sambutan pd acara Grebek Sampah Setu Cilodong di Kel.Kalibaru, Kec.Cilodong pic.twitter.com/8V8Z7aAekg;;
selamat menjalankan tugas hernowo satpol pp magelang;;
Perpus keliling depok akan memeriahkan acaranya @Arpus_Depok @sitichaerijah @IdrisAShomad @bundaelly16 https://twitter.com/newlanders/status/730638395232292865 …;;
#BulanPengabdianSDITAlBarkah Rabu 11/5/16 #Beberes3Musholah Kelurahan Mekarsari @pemkotdepok @IdrisAShomad pic.twitter.com/EbgxuyrqA5;;
Pak @IdrisAShomad mengapa ya ngurus cetak ulang ktp di kelurahan jatimulya cilodong ribet banget. Sdh 2 mngg bolak balik ada aja alesannya;;
